Name,Price,Rating,city,Kilometers,Owner,Fuel_Type,Transmission,Insurance_Type,Car_Age
2014 Hyundai Grand i10 SPORTZ 1.1 CRDI,450000,3.6,3686,134913,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,10
2015 Tata Zest XMS QUADRAJET 90PS,400000,4.2,3686,94072,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,9
2018 Hyundai Xcent 1.2 S CRDI,525000,4.5,3686,98080,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,6
2011 Maruti Swift Dzire VDI BS IV,360000,4.2,3686,152414,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,13
2016 Maruti Swift Dzire VDI BS IV,550000,4.1,3686,128094,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,8
2010 Skoda Superb ELEGANCE 1.8 TSI MT,410000,3.7,3686,113915,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,14
2015 Maruti S Cross ZETA 1.3,650000,4.3,3686,116920,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,9
2014 Mahindra XUV500 W6 4X2,700000,4.0,3686,88034,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,10
2012 Toyota Fortuner 3.0 AT 4X2,1236425,4.1,3686,150071,OwnerFourth Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeComp,12
2016 Renault Duster RXL AMT 110 PS,620000,3.9,3686,99007,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeComprehensive,8
2014 Toyota Camry 2.5 AT,1050000,4.3,3686,88026,OwnerSecond Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeInsurance Expired,10
2002 Hyundai Santro LS ZIP PLUS,65000,1.0,3686,23321,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,22
2016 Toyota Innova 2.5 GX 7 STR BS IV,1380000,4.2,3686,123361,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,8
2011 Volkswagen Vento HIGHLINE DIESEL,470000,4.1,3686,116442,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,13
2011 Toyota Innova 2.5 G4 8 STR,800000,3.7,3686,156779,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,13
2012 Toyota Innova 2.5 GX 8 STR BS IV,700000,3.9,3686,141309,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,12
2015 Ford Ecosport 1.5TITANIUM TDCI,525000,4.1,3686,150841,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,9
2014 Honda Mobilio 1.5 S I DTEC,516000,3.9,3686,94462,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,10
2012 Volkswagen Polo HIGHLINE1.2L DIESEL,400000,4.1,3686,103244,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,12
2014 Hyundai Verna FLUIDIC 1.6 SX CRDI,751000,4.1,3686,88058,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,10
2014 Ford Ecosport 1.5 TITANIUMTDCI OPT,508000,4.3,3686,159764,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,10
2007 Toyota Innova 2.5 G4 7 STR,428000,3.6,3686,175736,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,17
2013 Ford Ecosport 1.5TITANIUM TDCI,450000,4.3,3686,143912,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2011 BMW 5 Series 530D 3.0,2500000,4.2,3686,136274,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeExpired,13
2008 Mahindra Scorpio VLS 2.2 M HAWK,389000,4.2,3686,181591,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,16
2014 Ford Ecosport 1.5 TITANIUMTDCI OPT,625000,4.3,3686,90698,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero Depreciation,10
2010 Skoda Superb 2.0 Elegance TDI AT,484000,4.3,3686,129999,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeInsurance Expired,14
2012 Toyota Etios GD,432000,3.9,3686,157598,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero Depreciation,12
2014 Ford Classic 1.4 CLXI DURATORQ,350000,4.1,3686,80615,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,10
2013 Tata Safari Storme 2.2 EX 4X2,620000,3.8,3686,88514,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2015 Renault Duster 85 PS RXL,600000,4.4,3686,107565,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,9
2006 Maruti Wagon R VXI,60000,4.1,3686,83093,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComprehensive,18
2012 Hyundai Verna FLUIDIC 1.6 SX CRDI,500000,4.0,3686,135562,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,12
2000 Daewoo Matiz SD,30000,1.0,3686,125460,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,24
2013 Toyota Innova 2.5 G2 8 Seater,670000,3.5,3686,159099,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
2006 Toyota Innova 2.5 G4 8 STR,324000,4.0,3686,169584,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,18
2015 Maruti S Cross ZETA 1.3,825000,4.1,3686,92490,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
2013 Maruti SX4 VDI ,400000,4.1,3686,101628,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,11
2010 Tata Safari 4X2 EX DICOR BS IV,326000,3.9,3686,123799,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,14
2015 Hyundai Verna FLUIDIC 1.6 SX CRDI,750000,4.3,3686,95701,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,9
2013 Renault Duster 85 PS RXL,350000,3.8,3686,138232,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
2009 Mahindra Scorpio 2.5 TURBO,300000,3.5,3686,211990,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,15
2014 Ford Figo 1.4 ZXI DURATORQ ,345000,4.2,3686,119239,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,10
2010 Toyota Innova 2.5 V 8 STR,952500,4.4,3686,107234,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,14
2016 BMW X5 XDRIVE 30 D,4000000,4.4,3686,96824,OwnerFirst Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeZero_Dep,8
2013 Chevrolet Sail 1.3 LS ABS,210000,3.7,3686,133792,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2014 Hyundai i10 SPORTS 1.1 LPG,330000,4.3,3686,123984,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComp,10
2006 Chevrolet Tavera NEO LS B3 7 STR BS III,213000,3.5,3686,375858,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,18
2013 Nissan Terrano XL 110 DIESEL,480000,4.2,3686,113204,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
2016 Maruti Ritz LDI ,270000,3.6,3686,117043,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,8
2005 Ford Ikon 1.3 FLAIR,33000,1.0,3686,60680,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,19
2015 Volkswagen Vento HIGHLINE DIESEL,580000,4.2,3686,113421,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,9
2012 Mercedes Benz E Class E 220 CDI ELEGANCE,1440000,4.3,3686,93158,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,12
2018 Ford Ecosport 1.5TITANIUM TDCI,800000,4.4,3686,109035,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,6
2015 Toyota Innova 2.5 GX 7 STR BS IV,850000,4.1,3686,229220,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,9
2016 Maruti Ritz LDI ,340000,4.1,3686,86598,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,8
2016 Mahindra Bolero ZLX,485000,3.9,3686,226087,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero Depreciation,8
2011 Toyota Innova 2.5 G4 8 STR,600000,2.9,3686,217554,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,13
2010 Toyota Innova 2.5 G4 8 STR,513307,3.8,3686,221115,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,14
2011 Maruti Alto LXI,170000,4.1,3686,52553,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComprehensive,13
2011 Mahindra Bolero ZLX,300000,3.7,3686,193965,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,13
2013 Maruti Swift Dzire VXI 1.2 BS IV,520000,4.1,3686,94839,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance Type3rd Party,11
2015 Hyundai Grand i10 SPORTZ 1.1 CRDI,450000,3.8,3686,139522,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,9
2014 Maruti Swift ZXI,575000,4.1,3686,104665,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComprehensive,10
2016 Volvo XC 60 D4 SUMMUM,2000000,4.3,3686,124240,OwnerFirst Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeComp,8
2013 Maruti Ritz VDI ,337000,4.0,3686,122618,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,11
2011 Maruti Swift Dzire VDI,390000,3.9,3686,110914,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,13
2009 Toyota Innova 2.5 V 8 STR,660000,4.2,3686,182236,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,15
2013 BMW 5 Series 525D 3.0,1308000,4.0,3686,107916,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeInsurance Expired,11
2014 Ford Fiesta Classic 1.4 CLXI TDCI,400000,4.1,3686,88978,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,10
2016 Maruti Ritz LDI ,300000,3.8,3686,141131,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,8
2013 Renault Scala RXZ,328375,4.1,3686,170544,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,11
2012 Nissan Sunny XV DIESEL,259000,3.7,3686,185255,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,12
2014 Toyota Innova 2.5 VX 7 STR BS IV,1250000,4.1,3686,98152,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,10
2011 Volkswagen Vento TRENDLINE DIESEL,400000,4.1,3686,120673,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,13
2016 Ford Ecosport 1.5 TITANIUMTDCI OPT,750000,4.1,3686,110383,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero Depreciation,8
2013 Mercedes Benz M Class ML 250 CDI,2200000,4.1,3686,135967,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2015 Toyota Innova 2.5 GX 7 STR BS IV,830000,3.6,3686,209878,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
2015 Honda City VX MT DIESEL,750000,4.2,3686,105517,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero Depreciation,9
2009 BMW 3 Series 320D,1200000,3.4,3686,145750,OwnerFourth Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeInsurance Expired,15
2012 Maruti Eeco 5 STR WITH AC PLUSHTR,235000,3.7,3686,143395,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeExpired,12
2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,620000,4.1,3686,104305,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2016 Hyundai Verna FLUIDIC 1.6 CRDI SX OPT AT,850000,4.3,3686,103649,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeComprehensive,8
2015 Maruti Swift VDI ABS,465000,4.1,3686,153101,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,9
2008 Hyundai Verna VGT CRDI SX,300000,4.0,3686,135400,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,16
2016 Honda City VX CVT PETROL,661000,4.3,3686,125246,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,8
2008 Maruti Swift VDI ABS,220670,3.8,3686,194164,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,16
2011 Toyota Etios Liva GD,299000,4.2,3686,174661,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,13
2008 Maruti Swift VDI,210691,2.8,3686,113849,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,16
2008 Mahindra Scorpio VLX BS III,400000,3.5,3686,197630,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,16
2009 Skoda Laura AMBIENTE 1.9 TDI MT,400000,3.8,3686,131596,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,15
2008 Skoda Laura LK 1.9 PD AT,300000,4.0,3686,148119,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeExpired,16
2008 Audi Q7 3.0 TDI QUATTRO,900000,3.9,3686,142880,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance Type3rd Party,16
2013 Renault Duster 85 PS RXL OPT,450000,3.9,3686,142310,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,11
2010 Mahindra Xylo E8 ABS BS IV,399823,3.7,3686,133653,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,14
2005 Hyundai Tucson CRDI,200000,3.4,3686,187780,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,19
2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,509913,3.9,3686,120629,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2014 Honda Amaze 1.5 SMT I DTEC,430000,3.8,3686,145796,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,10
2010 Maruti Swift VDI,330000,3.9,3686,220372,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,14
2007 Toyota Innova 2.5 G3 8 STR,390000,3.6,3686,368176,OwnerFourth Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,17
2016 Maruti Ertiga VDI SHVS,600000,3.7,3686,193610,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,8
2005 Toyota Innova 2.5 G1,160000,3.4,3686,215016,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,19
2010 Honda Accord 2.4 AT I VTEC,475000,4.0,3686,116772,OwnerFirst Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeExpired,14
2013 Renault Duster 85 PS RXL,400000,3.9,3686,145112,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,11
2017 Tata TIGOR XZ 1.2 REVOTRON OPT,450000,4.2,3686,187095,OwnerFirst Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeComprehensive,7
2017 Toyota Innova Crysta Touring Sport Diesel AT,1850000,4.4,3686,119054,OwnerFirst Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeZero Depreciation,7
2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE,850000,4.3,3686,122701,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,8
2015 Hyundai Creta 1.6 SX (O) CRDI,835000,4.0,3686,131519,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,9
2013 Volkswagen Vento HIGHLINE DIESEL,455000,4.4,3686,113946,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2010 Mahindra Scorpio LX BS IV,400000,3.9,3686,146067,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,14
2013 Ford Figo 1.4 TITANIUM DURATORQ,275000,4.0,3686,123083,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2015 Toyota Innova 2.5 GX 8 STR BS IV,909000,4.2,3686,163234,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,9
2012 Toyota Etios GD,370000,3.6,3686,279381,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,12
2016 Maruti Ciaz ZDI+ SHVS,800000,4.2,3686,88152,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,8
2017 Toyota Innova Crysta 2.4 GX 8 STR,1599000,4.4,3686,125895,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,7
2015 Maruti Eeco 5 STR WITH AC PLUSHTR,250000,3.6,3686,126403,OwnerSecond Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeInsurance Expired,9
2016 Maruti Ritz LDI ,300000,4.2,3686,112860,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeZero_Dep,8
2015 Chevrolet Enjoy 1.3 LS 8 STR,315000,3.7,3686,164358,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,9
2013 Toyota Fortuner 3.0 AT 4X2,1250000,4.1,3686,273359,OwnerFirst Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeExpired,11
2013 Ford Ecosport 1.5 TREND TDCI,500000,4.2,3686,101714,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
2014 Tata Indica Vista VX Tech Quadrajet,210000,4.1,3686,238855,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,10
2013 Volkswagen Polo HIGHLINE1.2L DIESEL,399000,4.0,3686,105028,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
2016 Hyundai Elite i20 1.4 CRDI ASTA (O),560000,4.2,3686,140474,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,8
2012 Hyundai i20 SPORTZ 1.4 CRDI,450000,4.2,3686,116352,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,12
2013 Ford Ecosport 1.5 AMBIENTE TDCI,500000,4.1,3686,88097,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2014 Audi Q7 3.0 TDI QUATTRO,2262000,4.3,3686,100650,OwnerFirst Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeInsurance Expired,10
2010 Volkswagen Jetta COMFORTLINE 1.9 TDI,300000,3.2,3686,156905,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,14
2017 Toyota Innova Crysta 2.4 VX 7 STR,1757000,4.6,3686,112174,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,7
2011 Renault Fluence 1.5 E2,350000,4.0,3686,157265,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,13
2016 Hyundai Xcent S 1.1 CRDI,409000,4.2,3686,152752,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,8
2011 Toyota Fortuner 3.0 MT 4X4,1100000,4.1,3686,163254,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,13
2013 Hyundai Verna FLUIDIC 1.6 EX CRDI,538000,4.1,3686,123041,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,11
2014 Honda Mobilio 1.5 RS OPT. I DTEC.,650000,4.3,3686,89951,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeThird_party,10
2013 Maruti Swift Dzire ZDI,300000,4.1,3686,89978,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2014 Honda City SV MT DIESEL,600000,3.9,3686,137353,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,10
2012 Maruti Swift Dzire VDI BS IV,600000,4.3,3686,106120,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,12
2012 Renault Duster RXZ DIESEL 110,510000,3.6,3686,136056,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,12
2008 Toyota Innova 2.5 G3 8 STR,451800,4.0,3686,162988,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,16
2010 Toyota Innova 2.5 G4 7 STR,457000,3.4,3686,334245,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,14
2005 Toyota Innova 2.5 G1,308000,3.3,3686,451408,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,19
2015 Hyundai Verna FLUIDIC 1.6 CRDI S (o),526000,4.0,3686,120739,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,9
2013 Tata Aria PURE LX 4X2,400000,3.9,3686,89696,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,11
2013 Volkswagen Vento HIGHLINE DIESEL,480000,4.2,3686,117173,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,11
2010 Skoda Superb ELEGANCE 1.8 TSI AT,500000,4.0,3686,139682,OwnerSecond Owner,FuelPetrol,TransmissionAUTOMATIC,Insurance TypeInsurance Expired,14
2013 Nissan Micra Active XL,316000,4.0,3686,121299,OwnerFirst Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComprehensive,11
2015 Toyota Innova 2.5 GX 7 STR BS IV,1000000,4.3,3686,104447,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,9
2012 Toyota Innova 2.5 GX 8 STR BS IV,710000,4.0,3686,189114,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,12
2010 Toyota Fortuner 3.0 MT 4X4,814506,4.2,3686,288614,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,14
2012 Maruti Swift VDI,340000,3.9,3686,214502,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,12
2015 Toyota Fortuner 3.0 MT 4X2,1250000,4.2,3686,216175,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,9
2017 Ford Figo Aspire 1.5 TREND DIESEL,537000,4.4,3686,147515,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,7
2015 Mahindra XUV500 W8 FWD,920000,4.1,3686,122328,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,9
2014 Mercedes Benz Ml Class 250 CDI,1971963,4.3,3686,104653,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,10
2016 Tata Zest XMS QUADRAJET 90PS,428000,4.2,3686,144214,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,8
2014 Tata Aria PURE LX 4X2,400000,3.8,3686,154068,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,10
2014 Hyundai Verna FLUIDIC 1.6 SX CRDI,560000,3.9,3686,94614,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,10
2011 Audi A4 2.0 TDI,880000,4.1,3686,136854,OwnerSecond Owner,FuelDiesel,TransmissionAUTOMATIC,Insurance TypeExpired,13
2012 Audi A4 2.0 TDI S LINE,1200000,4.1,3686,116432,OwnerThird Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,12
2015 Honda Mobilio 1.5 S I DTEC,480600,3.9,3686,112079,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,9
2012 Fiat Grand Punto SPORT 1.3,310000,3.8,3686,136739,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,12
2015 Ford Classic 1.4 LXI DURATORQ,500000,4.2,3686,129502,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,9
2012 Maruti Wagon R 1.0 LXI CNG,278000,4.1,3686,147498,OwnerFirst Owner,FuelPetrol + CNG,TransmissionMANUAL,Insurance TypeComp,12
2016 Maruti Ritz LDI ,300000,3.8,3686,145642,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,8
2011 Toyota Innova 2.5 VX 8 STR BS IV,700000,4.0,3686,199463,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,13
2014 Maruti Ertiga VDI,539000,4.0,3686,161212,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeInsurance Expired,10
2000 Maruti Wagon R LXI,50000,1.0,3686,1,OwnerSecond Owner,FuelPetrol,TransmissionMANUAL,Insurance TypeInsurance Expired,24
2013 Renault Duster RXZ Diesel 110 (O),450000,4.2,3686,123701,OwnerFirst Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComp,11
2015 Mahindra Scorpio S10 7 STR,1000000,4.1,3686,108509,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,9
2016 Honda Amaze 1.5 EMT I DTEC,408000,4.1,3686,158884,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeExpired,8
2011 Hyundai Santro Xing GL PLUS LPG,190000,4.1,3686,81117,OwnerSecond Owner,FuelPetrol + LPG,TransmissionMANUAL,Insurance TypeComp,13
2011 Toyota Innova 2.5 G4 7 STR,600000,4.1,3686,183330,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance Type3rd Party,13
2012 Renault Duster RXZ DIESEL 110,520000,3.7,3686,119443,OwnerSecond Owner,FuelDiesel,TransmissionMANUAL,Insurance TypeComprehensive,12
